item name,item number,price,stock
Sargent 4TB EN Door Closer Parts,SAR_4TBEN,11.22,590
LCN 4110T169 Door Closer Parts,LCN_4110T169,21.92,7
HES 732F12D630LBMLCM 12VDC Fail Safe Electric Strike with LBMLCM Latchbolt Monitor Satin Stainless Steel Finish,HES_732F12D630LBMLCM,710.35,15176151
Rixson 107114 630 Door Closer,RIX_107114630,9.30,25
LCN 46301552 Activation Decal,LCN_46301552,8.32,16777778
LCN 4640-334-2 Door Closer Parts,LCN_46403342,43.85,8
Schlage SCANIIB Passive Infrared Detector Motion Sensor Black Finish,SCH_SCANIIB,565.13,12
Rixson 259500 626 Door Closer,RIX_259500626,106.60,35
LCN TB 1 3/4 AL Door Closer Parts,LCN_TB134AL,5.18,16777778
LCN 1260-TBSRT AL Door Closer Parts,LCN_1260TBSRTAL,25.70,11
LCN 4040XP-79ELR US26 Door Closer Parts,LCN_4040XP79ELRUS26,190.51,1
Baldwin 5399060C New Mechanics Thick Door Kit C for Emergency Egress Handlesets Satin Brass with Brown Finish,BAL_5399060C,40.76,3
Schlage 621RD NS Pushbutton,SCH_621RDNS,145.92,10
HES 7427512D629LBMLCM 75 12VDC Electric Strike with LBMLCM Latchbolt Monitor Bright Stainless Steel Finish,HES_7427512D629LBMLCM,824.74,15176151
Baldwin 5399055C New Mechanics Thick Door Kit C for Emergency Egress Handlesets Lifetime Bright Nickel Finish,BAL_5399055C,40.76,2
Schlage 623RD DP Pushbutton,SCH_623RDDP,175.000,1
Baldwin 5399102G New Mechanics Repair Kit G for Sectional &amp Escutcheon Handlesets with Knob Oil Rubbed Bronze Finish,BAL_5399102G,40.76,18
Baldwin 5399003G New Mechanics Repair Kit G for Sectional &amp Escutcheon Handlesets with Knob Lifetime Brass Finish,BAL_5399003G,40.76,76
LCN 4050A-3077/62A DKBRZ 4050-3077/62A DKBRZ Door Closer Parts,LCN_4050A307762ADKBRZ,149.69,4
Baldwin 5399033A New Mechanics Thick Door Kit A for Single Cylinder Handlesets Vintage Brass Finish,BAL_5399033A,40.76,2
"LCN 3592 Compressors, Control Boxes and Parts",LCN_3592,61.00,1
Rixson 0601 120VAC 689 Door Closer,RIX_0601120VAC689,816.48,4
HES 8500629LBSM 12VDC / 24VDC Electric Strike Body with Latchbolt Strike Monitor Bright Stainless Steel Finish,HES_8500629LBSM,582.25,15176151
LCN 4640-334 Door Closer Parts,LCN_4640334,43.85,2
LCN 20303034H Door Closer Parts,LCN_20303034H,31.75,110
LCN 4630-159 Door Closer Parts,LCN_4630159,6.80,21
Schlage 621RD NS Pushbutton,SCH_621RDNS,145.92,10
LCN 46301551 Caution Decal,LCN_46301551,8.32,16777778
LCN 2011-3071 LH DKBRZ Door Closer Parts,LCN_20113071LHDKBRZ,508.79,2
LCN 4040XP-419 US10 Door Closer Parts,LCN_4040XP419US10,190.51,4
LCN 1260-TBSRT AL Door Closer Parts,LCN_1260TBSRTAL,25.70,11
LCN TB 1 3/4 DKBRZ SET 4 Door Closer Parts,LCN_TB134DKBRZSET4,7.13,5
LCN 6030157 Snubber for 6030 Series 689 Aluminum Finish,LCN_6030157,16.63,59
Sargent 281DEN Door Closer Mounting Plates,SAR_281DEN,79.20,133
HES 7427512D629LBMLCM 75 12VDC Electric Strike with LBMLCM Latchbolt Monitor Bright Stainless Steel Finish,HES_7427512D629LBMLCM,824.74,15176151
HES 8500629LBSM 12VDC / 24VDC Electric Strike Body with Latchbolt Strike Monitor Bright Stainless Steel Finish,HES_8500629LBSM,582.25,15176151
Schlage 46929121 Door Position Switch,SCH_46929121,32.25,122
Baldwin 5399102G New Mechanics Repair Kit G for Sectional &amp Escutcheon Handlesets with Knob Oil Rubbed Bronze Finish,BAL_5399102G,40.76,18
Baldwin 5399003G New Mechanics Repair Kit G for Sectional &amp Escutcheon Handlesets with Knob Lifetime Brass Finish,BAL_5399003G,40.76,76
Schlage 623RD DP Pushbutton,SCH_623RDDP,175.000,1
Norton 1618A690 Door Controls Door Closer Mounting Plates,NOR_1618A690,29.48,106
Sargent 281W EP Door Closer Mounting Plates,SAR_281WEP,100.20,3
Sargent 1431W EN Door Closer Mounting Plates,SAR_1431WEN,100.20,1
LCN 2033-3971 LH DKBRZ Door Closer Parts,LCN_20333971LHDKBRZ,909.47,2
LCN 9550-3034 Door Closer Parts,LCN_95503034,37.04,16777778
LCN 1450-3071 BLACK Door Closer Parts,LCN_14503071BLACK,185.98,6
LCN 4630-159 Door Closer Parts,LCN_4630159,6.80,21
LCN 4640-334 Door Closer Parts,LCN_4640334,43.85,2
Schlage 621GID EX Pushbutton,SCH_621GIDEX,145.92,5
LCN 46301551 Caution Decal,LCN_46301551,8.32,16777778
Alarm Controls TS12 Pushbutton,ALC_TS12,90.72,2
LCN 4040XP-419 US10 Door Closer Parts,LCN_4040XP419US10,190.51,4
Schlage 46929295 Spindle Hub Kit,SCH_46929295,51.83,20
Sargent 1431W EB Door Closer Mounting Plates,SAR_1431WEB,100.20,1
Norton 9388 689 Door Controls Door Closer Mounting Plates,NOR_9388689,29.70,1
LCN 4040XPT3054 Door Closer Parts,LCN_4040XPT3054,29.48,145
Baldwin 8BR0702003 Double Cylinder Handleset Thick Door Kit Venetian Bronze Finish,BAL_8BR0702003,11.12,2
Baldwin 8BR0706003 Entry Knob / Lever Thick Door Kit Venetian Bronze Finish,BAL_8BR0706003,6.17,9
BEA 10MS21HS Activation Plates,BEA_10MS21HS,130.03,7
Schlage 09-996 Service Kit Mortice Back Housing 1 5/8in,SCH_09996,38.38,4
Sargent 1431W EN Door Closer Mounting Plates,SAR_1431WEN,100.20,1
BEA 10PTLBUTTON Pushbutton,BEA_10PTLBUTTON,56.10,9
Sargent 281W EP Door Closer Mounting Plates,SAR_281WEP,100.20,3
